year,global_avgtemp,city_avgtemp,toronto_moving_avg
1759,7.99,5.27,6.63
1760,7.19,3.74,6.0475
1761,8.77,6.25,6.535
1762,8.61,5.79,6.70125
1763,7.5,3.32,6.443
1764,8.4,5.76,6.549166667
1765,8.25,5.14,6.57
1766,8.41,6.27,6.66625
1767,8.22,4.74,6.645555556
1768,6.78,4.81,6.5605
1769,7.69,5.44,6.554
1770,7.69,5.35,6.6595
1771,7.85,6.23,6.6125
1772,8.19,5.93,6.5985
1773,8.22,6.22,6.7795
1774,8.77,5.64,6.792
1775,9.18,6.64,6.9135
1776,8.3,5.69,6.879
1777,8.26,5.23,6.9055
1778,8.54,3.18,6.912
1779,8.98,6.1,7.0095
1780,9.43,8.7,7.264
1781,8.1,5.96,7.263
1782,7.9,5.39,7.2215
1783,7.68,5.11,7.139
1784,7.86,4.9,7.0565
1785,7.36,4.83,6.875
1786,8.26,5.35,6.856
1787,8.03,5.37,6.8515
1788,8.45,6,6.988
1789,8.33,5.7,6.9355
1790,7.98,5.64,6.71
1791,8.23,5.72,6.7045
1792,8.09,5.15,6.702
1793,8.23,6.02,6.775
1794,8.53,6.05,6.866
1795,8.35,5.6,6.954
1796,8.27,5.48,6.961
1797,8.51,5.21,6.977
1798,8.67,6.03,6.9895
1799,8.51,5.62,6.9945
1800,8.48,5.85,7.03
1801,8.59,6.23,7.0735
1802,8.58,6.46,7.1635
1803,8.5,6.23,7.1875
1804,8.84,6.02,7.2015
1805,8.56,6.49,7.2565
1806,8.43,5.7,7.2755
1807,8.28,5.49,7.278
1808,7.63,5.66,7.2075
1809,7.08,4.9,7.1
1810,6.92,5.24,6.9915
1811,6.86,5.38,6.8625
1812,7.05,3.97,6.6615
1813,7.74,5.31,6.5775
1814,7.59,5.16,6.472
1815,7.24,4.52,6.3075
1816,6.94,4,6.148
1817,6.98,4.12,6.0145
1818,7.83,4.84,5.9835
1819,7.37,5.07,6.0065
1820,7.62,5.08,6.0335
1821,8.09,4.88,6.07
1822,8.19,5.64,6.2105
1823,7.72,4.86,6.187
1824,8.55,5.38,6.246
1825,8.39,6.46,6.4005
1826,8.36,6.23,6.583
1827,8.81,6.03,6.77
1828,8.17,6.82,6.886
1829,7.94,5.46,6.934
1830,8.52,6.23,7.0365
1831,7.64,4.96,7.018
1832,7.45,5.9,6.994
1833,8.01,5.88,7.0595
1834,8.15,6.16,7.0785
1835,7.39,5.11,6.961
1836,7.7,4.27,6.83
1837,7.38,4.89,6.7015
1838,7.51,4.48,6.5515
1839,7.63,5.62,6.544
1840,7.8,5.88,6.4905
1841,7.69,5.33,6.5115
1842,8.02,5.75,6.5325
1843,8.17,4.81,6.487
1844,7.65,5.8,6.444
1845,7.85,5.81,6.502
1846,8.55,6.47,6.6545
1847,8.09,5.11,6.701
1848,7.98,5.68,6.7845
1849,7.98,5.18,6.78
1850,7.9,5.45,6.7635
1851,8.18,5.45,6.794
1852,8.1,5.27,6.774
1853,8.04,5.7,6.812
1854,8.21,5.9,6.845
1855,8.11,5.16,6.8255
1856,8,4.26,6.6875
1857,7.76,4.64,6.6475
1858,8.1,5.93,6.666
1859,8.25,5.54,6.6975
1860,7.96,5.58,6.707
1861,7.85,5.45,6.6905
1862,7.56,5.21,6.6605
1863,8.11,5.36,6.647
1864,7.98,5.47,6.614
1865,8.18,5.7,6.6445
1866,8.29,4.88,6.69
1867,8.44,5.11,6.7475
1868,8.25,4.59,6.688
1869,8.43,4.74,6.657
1870,8.2,6.22,6.701
1871,8.12,5.26,6.705
